,voxel_x,voxel_y,voxel_z,currentStep,struggleValue,rowCount
3074,1.0,1.4,-4.1,0,22.3400027,1
1812,0.6,1.6,-3.2,0,12.278,8
1855,0.6,1.7,-3.2,0,12.278,6
2981,0.9,1.8,-3.8,0,9.8234594,1
1988,0.7,1.6,-3.0,0,9.2590047,1
2755,0.9,1.6,-3.0,0,16.427729033333332,3
1983,0.7,1.6,-3.1,0,20.7825794,1
2776,0.9,1.6,-2.9,0,8.2316871,3
1979,0.7,1.6,-3.7,0,39.324583,3
2870,0.9,1.7,-3.9,0,9.0027613,3
1858,0.6,1.7,-2.9,0,31.6345165,1
2871,0.9,1.7,-3.8,0,9.0027613,2
1922,0.7,1.5,-3.0,0,5.4230068,6
2882,0.9,1.7,-3.1,0,41.4921165,2
1918,0.7,1.5,-3.1,0,5.4230068,2
2890,0.9,1.7,-3.0,0,36.314732225,4
2910,0.9,1.7,-2.9,0,41.4921165,4
1883,0.7,1.4,-3.0,0,5.4230068,2
2872,0.9,1.7,-3.7,0,9.8234594,2
1631,0.1,1.8,-3.7,0,41.4921165,1
3322,1.0,1.6,-3.4,0,9.0027613,1
1538,-0.3,1.6,-2.8,0,20.4700172,2
4858,1.3,1.5,-3.0,0,12.278,1
4513,1.2,1.5,-2.8,0,22.8450975,1
1608,0.1,1.4,-3.0,0,21.4769528,1
1609,0.1,1.4,-2.9,0,21.476952800000003,6
1580,-0.1,1.8,-2.7,0,5.8036658,3
1610,0.1,1.4,-2.7,0,21.4769528,2
1596,0.0,1.6,-3.1,0,22.845097499999998,6
1613,0.1,1.5,-3.1,0,22.8450975,2
1614,0.1,1.5,-3.0,0,22.8450975,4
1566,-0.1,1.5,-2.8,0,9.5810185,2
4160,1.1,1.7,-2.9,0,9.8234594,2
1617,0.1,1.6,-3.7,0,41.4921165,1
1532,-0.4,1.6,-2.7,0,20.4700172,1
1618,0.1,1.6,-3.1,0,22.845097499999998,3
1579,-0.1,1.8,-3.9,0,41.4921165,1
1572,-0.1,1.6,-2.9,0,15.02551785,6
1605,0.0,1.8,-2.7,0,5.8036658,6
4227,1.1,1.8,-2.9,0,5.8036658,2
1604,0.0,1.8,-3.9,0,41.4921165,9
1601,0.0,1.7,-2.9,0,31.6345165,3
1578,-0.1,1.7,-2.8,0,20.4700172,8
4917,1.3,1.6,-3.0,0,12.278,1
1600,0.0,1.6,-2.8,0,27.16871678,5
4470,1.2,1.5,-3.0,0,9.5810185,1
1104,-1.2,1.7,-4.0,0,3.3410101,3
770,-1.3,1.7,-4.2,0,2.2355074,1
1594,0.0,1.5,-2.7,0,21.4769528,1
4246,1.1,1.8,-2.8,0,9.8234594,2
1574,-0.1,1.6,-2.8,0,20.4700172,3
1599,0.0,1.6,-2.9,0,12.692160985714285,7
4491,1.2,1.5,-2.9,0,22.845097499999998,3
4677,1.2,1.7,-2.9,0,9.8234594,2
1603,0.0,1.7,-2.7,0,20.4700172,2
1597,0.0,1.6,-3.0,0,17.539465900000003,5
822,-1.3,1.7,-3.9,0,3.3410100999999996,5
1577,-0.1,1.7,-2.9,0,31.6345165,2
1590,0.0,1.5,-3.0,0,18.423737833333334,3
1602,0.0,1.7,-2.8,0,31.6345165,2
1559,-0.1,1.5,-3.1,0,22.8450975,11
1626,0.1,1.7,-2.9,0,31.6345165,1
881,-1.3,1.8,-3.9,0,3.3410101,1
1548,-0.2,1.6,-3.0,0,9.5810185,6
4025,1.1,1.6,-3.0,0,13.210684733333332,3
1549,-0.2,1.6,-2.9,0,20.4700172,3
1627,0.1,1.7,-2.8,0,29.773766616666666,6
1619,0.1,1.6,-3.0,0,22.8450975,1
1628,0.1,1.7,-2.7,0,20.4700172,5
4003,1.1,1.6,-3.1,0,5.4456027,1
1629,0.1,1.8,-3.9,0,41.4921165,3
873,-1.3,1.8,-4.0,0,2.2355074,1
4395,1.2,1.4,-2.9,0,22.8450975,2
1630,0.1,1.8,-3.8,0,41.4921165,1
1550,-0.2,1.6,-2.8,0,20.4700172,6
1582,0.0,1.4,-2.8,0,21.476952800000003,3
1625,0.1,1.7,-3.6,0,41.4921165,2
1583,0.0,1.4,-2.7,0,21.4769528,9
1553,-0.1,1.4,-2.8,0,21.476952800000003,6
4574,1.2,1.6,-3.0,0,12.278,1
1581,0.0,1.4,-2.9,0,21.4769528,4
695,-1.3,1.6,-4.3,0,2.2355074,1
1540,-0.3,1.6,-2.6,0,20.4700172,2
1622,0.1,1.6,-2.7,0,20.4700172,7
1554,-0.1,1.4,-2.7,0,21.4769528,4
792,-1.3,1.7,-4.1,0,2.78825875,2
1555,-0.1,1.4,-2.6,0,21.4769528,2
1623,0.1,1.7,-3.8,0,41.4921165,1
1624,0.1,1.7,-3.7,0,41.4921165,3
4654,1.2,1.7,-3.0,0,9.8234594,3
4596,1.2,1.6,-2.9,0,12.278,2
4049,1.1,1.6,-2.9,0,20.4700172,7
1588,0.0,1.5,-3.1,0,22.845097499999998,3
1152,-1.2,1.8,-3.9,1,21.7635679,9
813,-1.3,1.7,-4.0,1,21.7635679,19
2740,0.9,1.6,-3.1,1,142.487658,4
1989,0.7,1.6,-3.0,1,25.088508949999998,2
2732,0.9,1.6,-3.3,1,21.311093,7
4709,1.2,1.8,-2.9,1,34.4544481,1
1997,0.7,1.6,-2.9,1,22.4210209,2
2723,0.9,1.6,-3.7,1,33.9024795,3
373,-1.4,1.7,-4.3,1,11.9872177,1
793,-1.3,1.7,-4.1,1,21.7635679,4
2736,0.9,1.6,-3.2,1,66.75978624000001,5
2728,0.9,1.6,-3.4,1,26.3476476,7
3989,1.1,1.6,-3.4,1,33.9024795,3
1939,0.7,1.5,-2.8,1,15.6515276,1
2756,0.9,1.6,-3.0,1,136.4007587023256,43
329,-1.4,1.6,-4.3,1,11.9872177,1
2911,0.9,1.7,-2.9,1,23.31477086,10
1908,0.7,1.4,-2.5,1,95.3537764,2
1917,0.7,1.5,-3.2,1,16.2745384,1
2891,0.9,1.7,-3.0,1,26.410133516666665,6
1919,0.7,1.5,-3.1,1,15.6515276,5
2883,0.9,1.7,-3.1,1,40.8222606,9
1923,0.7,1.5,-3.0,1,15.699451507692308,13
2878,0.9,1.7,-3.2,1,48.2198948,2
