,currentStep,averageDuration
0,0,15.187496770000001
1,1,29.32256258
2,2,19.95469824
3,3,52.499881374999994
4,4,106.915778155
5,5,41.682904455
6,6,29.512770285
7,7,59.76100133999999
8,8,13.725108760000001
9,9,16.81041057
10,10,25.784473615000003
11,11,11.08481862
12,12,77.97343366999999
13,13,6.274252264999999
14,14,30.318351933333332
15,15,104.86170433333332
16,16,29.3237999
17,17,36.93664376666667
18,18,69.1208018
19,19,44.1251747
20,20,24.47779153333333
21,21,144.3549535
22,22,38.443527499999995
23,23,44.4243212
24,25,35.66140128823529
25,26,71.62613645
26,27,33.64349906875
27,28,35.456192075
28,29,99.69838498125
29,30,63.1767316875
30,31,29.81471165
31,32,207.83353848333334
32,33,42.554830466666665
33,34,31.826103
