,voxel_x,voxel_y,voxel_z,currentStep,struggleValue,rowCount
1652,-0.2,0.9,-2.5,0,21.4769528,2
418,-1.3,1.2,-4.3,0,3.4730048,1
1651,-0.2,0.9,-3.1,0,21.4769528,1
1656,-0.2,1.3,-3.0,0,31.6345165,1
1664,-0.1,0.9,-2.4,0,21.4769528,7
1665,-0.1,1.0,-3.2,0,9.5810185,2
3397,0.9,0.9,-3.7,0,22.3400027,1
1667,-0.1,1.1,-2.7,0,20.4700172,2
1734,0.1,1.2,-4.2,0,41.4921165,1
1669,-0.1,1.2,-2.9,0,20.4700172,2
1671,-0.1,1.3,-2.8,0,31.6345165,1
1672,-0.1,1.3,-2.7,0,31.6345165,1
1678,0.0,0.8,-3.1,0,21.4769528,1
1647,-0.2,0.8,-3.0,0,21.4769528,1
1679,0.0,0.8,-3.0,0,21.4769528,2
1683,0.0,0.9,-3.1,0,21.4769528,2
1691,0.0,1.0,-3.1,0,9.5810185,1
1695,0.0,1.1,-3.1,0,9.5810185,1
1696,0.0,1.1,-2.7,0,9.5810185,3
1670,-0.1,1.3,-3.1,0,31.6345165,1
1735,0.1,1.2,-4.1,0,41.4921165,3
1739,0.1,1.2,-3.1,0,31.6345165,1
1740,0.1,1.2,-3.0,0,31.6345165,3
1771,0.2,1.1,-3.6,0,41.4921165,4
1772,0.2,1.1,-3.5,0,41.4921165,1
1773,0.2,1.1,-2.8,0,9.5810185,3
1775,0.2,1.1,-2.7,0,15.581233400000002,6
1779,0.2,1.2,-3.8,0,41.4921165,2
1781,0.2,1.2,-3.7,0,41.4921165,1
1782,0.2,1.2,-3.6,0,41.4921165,6
1783,0.2,1.2,-3.0,0,31.6345165,1
1784,0.2,1.2,-2.9,0,22.251327425,8
1770,0.2,1.1,-3.7,0,41.4921165,1
1785,0.2,1.2,-2.8,0,15.581233400000002,3
4831,1.1,1.1,-3.9,0,39.324583,4
5417,1.2,1.0,-2.9,0,18.2661636,5
4967,1.1,1.2,-2.8,0,22.70291706,5
4830,1.1,1.1,-4.2,0,22.3400027,1
1788,0.2,1.3,-2.7,0,23.261142025,4
1789,0.2,1.3,-2.6,0,20.4700172,3
1790,0.3,0.7,-2.9,0,21.476952800000003,6
1798,0.3,0.8,-3.0,0,20.7825794,2
5997,1.3,1.0,-3.0,0,5.4456027,1
1786,0.2,1.2,-2.7,0,20.4700172,3
1803,0.3,0.8,-2.8,0,7.7180283,2
1769,0.2,1.1,-3.8,0,41.4921165,1
1768,0.2,1.1,-4.0,0,41.4921165,2
1741,0.1,1.2,-2.9,0,22.629181109090908,11
1742,0.1,1.2,-2.8,0,15.581233400000002,3
1639,-0.3,0.8,-2.7,0,21.4769528,2
1743,0.1,1.2,-2.7,0,20.4700172,1
1744,0.1,1.3,-3.1,0,31.6345165,1
1745,0.1,1.3,-2.9,0,20.4700172,4
1746,0.1,1.3,-2.8,0,20.4700172,1
1747,0.1,1.3,-2.7,0,26.052266850000002,2
434,-1.3,1.2,-4.2,0,3.4290065666666667,6
4951,1.1,1.2,-2.9,0,36.236591675,4
1636,-0.3,0.8,-2.8,0,21.4769528,2
4940,1.1,1.2,-3.1,0,9.0027613,1
1751,0.2,0.9,-3.5,0,41.4921165,1
1759,0.2,1.0,-3.6,0,41.4921165,2
1760,0.2,1.0,-3.5,0,41.4921165,8
4944,1.1,1.2,-3.0,0,5.4230068,1
4527,1.1,0.8,-3.0,0,21.4769528,1
1761,0.2,1.0,-3.4,0,41.4921165,2
1763,0.2,1.0,-2.8,0,9.5810185,1
1767,0.2,1.1,-4.1,0,41.4921165,1
4937,1.1,1.2,-3.3,0,9.0027613,1
